 	BX	BY	Width	Height
1	355	16	62	68
2	676	36	100	89
3	805	0	72	44
4	953	35	64	60
5	828	116	65	85
6	936	209	44	66
7	883	300	68	68
8	711	267	68	73
9	488	160	109	81
10	604	221	57	47
11	768	471	200	189
12	859	841	65	59
13	948	929	52	58
14	663	833	170	191
15	300	931	175	93
16	249	855	66	66
17	348	841	39	39
18	295	765	61	55
19	103	839	84	73
20	213	643	71	57
21	324	623	148	90
22	496	591	75	76
23	556	668	56	51
24	620	539	59	65
25	619	423	49	48
26	536	368	53	45
27	428	436	48	40
28	376	252	61	51
29	276	279	143	138
30	183	384	82	140
31	44	481	139	131
32	105	308	54	67
33	0	240	60	99
34	133	171	62	61
35	204	207	61	53
36	55	79	46	57
37	0	643	17	69
