 	BX	BY	Width	Height
1	75	35	23	18
2	105	77	19	25
3	42	95	20	20
4	71	167	20	16
5	29	289	19	32
6	41	399	29	17
7	73	457	74	24
8	68	519	52	30
9	70	457	76	21
10	169	471	27	13
11	177	428	28	11
12	129	353	17	19
13	173	306	39	29
14	100	246	80	36
15	144	184	29	24
16	125	125	29	21
17	331	90	25	13
18	278	92	26	15
19	239	202	41	42
20	294	61	28	18
21	336	2	30	26
22	259	50	18	23
23	251	36	19	18
24	353	168	16	11
25	308	275	18	23
26	291	277	19	23
27	336	293	31	19
28	280	507	36	31
29	330	511	23	18
30	273	472	27	13
31	253	470	23	13
32	293	275	41	22
33	244	139	18	22
34	257	35	52	69
