 	BX	BY	Width	Height
1	648	861	450	417
2	627	0	126	33
3	318	6	189	111
4	0	183	147	330
5	201	246	213	147
6	171	396	102	93
7	63	0	126	63
8	423	249	138	69
9	612	120	105	81
10	729	66	135	93
11	681	207	117	78
12	708	321	114	66
13	843	261	156	135
14	951	0	207	36
15	954	123	126	102
16	1092	87	123	84
17	1038	246	129	147
18	1314	75	117	81
19	1446	63	84	54
20	1332	0	123	30
21	1737	0	114	57
22	1902	21	111	99
23	1743	93	123	132
24	1629	126	90	171
25	1224	177	162	177
26	1443	177	117	111
27	1899	246	96	84
28	1866	381	182	156
29	1728	321	51	57
30	1743	411	114	81
31	1443	336	141	87
32	1563	438	147	201
33	1716	540	123	72
34	1764	633	159	84
35	2010	582	38	132
36	1851	825	123	87
37	1959	885	89	108
38	1932	1005	116	87
39	1947	1140	101	156
40	1869	1512	96	63
41	1908	1614	87	69
42	1947	1749	101	84
43	1767	1650	99	96
44	1620	1629	120	81
45	1455	1593	108	81
46	1743	1797	168	144
47	1686	1974	114	74
48	1551	1773	99	90
49	1500	1701	63	66
50	1230	1659	207	192
51	1287	1893	108	84
52	1344	2007	171	41
53	978	1782	123	81
54	1008	1611	93	84
55	1200	1281	198	240
56	1338	1113	126	105
57	1578	1176	84	51
58	1602	1239	90	84
59	1695	1209	108	54
60	1767	1305	99	93
61	1419	774	273	201
62	1371	666	105	63
63	1263	465	144	168
64	1140	621	156	144
65	1179	891	99	63
66	975	636	84	60
67	909	444	54	60
68	1053	450	108	54
69	951	525	120	78
70	651	480	213	213
71	540	618	81	75
72	564	753	78	63
73	369	750	117	81
74	198	585	168	69
75	108	684	102	69
76	195	768	90	60
77	279	840	93	69
78	135	957	105	81
79	3	993	147	192
80	0	597	39	144
81	216	1137	219	195
82	45	1305	126	78
83	0	1221	39	63
84	117	1404	108	66
85	264	1437	135	105
86	435	1416	105	72
87	576	1458	75	57
88	690	1485	57	54
89	768	1530	75	75
90	672	1626	63	75
91	735	1722	60	57
92	576	1566	87	57
93	525	1683	114	96
94	594	1800	93	60
95	591	1929	114	60
96	303	1953	81	63
97	372	2016	123	30
98	861	2004	90	44
99	255	1731	204	105
100	270	1845	93	72
101	231	1641	90	66
102	51	1818	120	99
103	3	1884	57	123
104	1251	369	84	63
105	1851	1125	57	96
106	369	1554	90	60
107	165	1677	60	54
108	87	1545	135	102
109	723	1818	60	51
110	0	756	63	51
111	81	810	81	51
112	180	1848	42	60
113	162	1980	66	60
