 	BX	BY	Width	Height
1	298	1189	47	45
2	292	918	65	44
3	581	856	42	32
4	584	802	52	54
5	296	1193	40	34
6	11	1308	95	80
7	501	1645	36	47
8	584	789	61	79
9	653	849	52	73
10	576	859	47	52
11	683	869	57	60
12	666	1084	39	36
13	612	1155	32	34
14	1522	1548	40	46
15	1670	1401	40	62
16	1618	1270	173	81
17	1613	1145	183	118
18	1416	1093	85	35
19	1687	1043	99	107
20	1702	974	165	73
21	1790	1057	30	53
22	1827	1047	40	38
23	1807	901	61	124
24	1530	578	50	43
25	1315	265	48	39
26	1696	24	43	42
27	1409	1094	85	39
