 	BX	BY	Width	Height
1	23	16	76	55
2	330	0	47	34
3	453	17	23	26
4	462	62	53	72
5	338	173	44	41
6	192	121	46	45
7	164	148	34	33
8	31	94	48	70
9	19	227	45	47
10	90	205	44	89
11	98	326	72	52
12	43	355	32	32
13	85	400	37	35
14	47	455	48	50
15	198	384	33	34
16	171	440	44	35
17	202	478	42	45
18	208	567	46	38
19	171	580	37	49
20	103	576	25	27
21	372	623	38	38
22	406	552	46	52
23	446	527	30	31
24	428	474	36	35
25	379	412	28	36
26	400	442	36	30
27	491	331	24	37
28	295	286	76	107
29	378	275	28	28
30	495	197	20	36
31	420	273	16	17
