 	BX	BY	Width	Height
1	111	117	30	32
2	147	110	33	39
3	92	153	82	60
4	69	281	68	46
5	137	273	26	30
6	2	317	79	97
7	2	455	31	32
8	23	427	66	20
9	77	453	28	34
10	113	437	45	45
11	164	426	31	33
12	39	623	32	35
13	77	623	22	32
14	13	742	59	64
15	12	855	59	65
16	248	852	96	117
17	2	1135	47	74
18	295	1296	32	35
19	609	751	90	53
20	524	543	222	147
21	445	796	316	230
22	699	1069	52	55
23	808	1138	51	47
24	1000	96	43	42
25	928	345	55	54
26	1086	478	31	36
27	1052	836	62	58
28	932	790	91	72
29	961	1044	27	23
30	844	1029	48	50
31	1040	1368	78	53
32	977	1377	58	44
