 	BX	BY	Width	Height
1	391	524	60	49
2	176	148	40	36
3	457	131	36	33
4	444	167	36	37
5	149	15	35	21
6	456	27	31	28
7	579	73	33	27
8	775	105	30	34
9	813	105	16	24
10	921	191	28	21
11	289	131	32	28
12	496	229	37	36
13	396	367	25	21
14	257	459	35	26
15	144	519	21	21
16	155	585	30	22
17	199	539	34	26
18	247	599	32	29
19	279	633	30	22
20	144	617	32	30
21	612	427	26	21
22	601	465	29	33
23	549	509	33	25
24	641	668	32	23
25	702	589	25	23
26	759	507	29	29
27	745	432	28	31
28	662	695	22	35
29	344	761	20	25
30	205	753	28	18
31	432	775	37	27
32	561	784	36	25
33	435	977	32	31
34	312	977	23	19
35	218	813	33	25
36	18	362	35	27
37	485	482	35	31
38	504	452	30	18
39	546	612	38	29
40	746	920	36	24
