 	BX	BY	Width	Height
1	701	212	140	155
2	866	550	146	164
3	943	378	81	76
4	936	0	88	53
5	802	0	64	50
6	624	39	71	68
7	658	127	53	45
8	538	164	55	50
9	264	60	106	96
10	349	31	91	65
11	375	164	39	46
12	195	0	66	54
13	111	102	94	75
14	9	41	79	69
15	138	310	100	94
16	247	420	81	57
17	349	287	83	58
18	578	229	57	62
19	626	524	51	60
20	611	638	57	56
21	619	711	64	49
22	727	735	71	53
23	950	826	74	57
24	928	970	69	54
25	699	950	43	47
26	744	963	57	58
27	554	876	70	65
28	470	805	81	55
29	435	703	97	54
30	261	523	74	66
31	298	593	114	144
32	429	383	152	176
33	608	318	45	41
34	66	580	128	123
35	77	410	53	42
36	0	848	115	100
37	264	799	43	56
38	247	931	150	65
39	0	210	28	50
40	332	845	61	60
41	316	196	63	45
