 	BX	BY	Width	Height
1	76	105	37	28
2	64	133	26	36
3	118	213	20	16
4	138	202	42	30
5	62	263	18	19
6	89	264	46	27
7	118	330	23	15
8	109	345	26	21
9	97	367	23	22
10	153	396	37	26
11	210	377	27	22
12	165	259	50	35
13	138	201	41	30
14	216	152	31	16
15	136	83	46	23
16	188	85	16	22
17	205	26	49	32
18	312	42	32	16
19	274	116	43	12
20	312	132	37	29
21	263	228	27	21
22	260	258	21	31
23	329	270	24	23
24	297	359	49	17
25	254	464	31	15
26	286	443	16	25
27	339	473	50	20
28	409	73	16	14
29	370	38	19	27
30	305	24	29	18
31	287	126	12	26
32	358	10	27	14
33	318	43	26	14
34	428	46	14	14
