 	BX	BY	Width	Height
1	26	12	16	20
2	80	23	18	16
3	6	130	21	13
4	1	205	25	63
5	3	300	26	23
6	78	295	32	15
7	66	241	26	18
8	98	188	25	21
9	117	69	23	20
10	169	201	37	27
11	204	265	50	45
12	226	404	24	22
13	177	410	35	24
14	271	404	28	14
15	323	427	39	6
16	307	394	21	24
17	258	215	33	30
18	318	318	69	41
19	252	150	63	33
20	259	95	40	31
21	294	60	21	20
22	347	125	37	31
23	362	244	48	42
24	413	314	46	41
25	511	379	88	53
26	573	310	25	28
27	497	278	29	23
28	450	203	33	26
29	424	137	59	56
30	442	104	45	26
31	485	28	21	21
32	528	63	31	32
33	566	111	32	32
34	537	199	22	16
35	575	228	26	34
36	547	272	26	23
37	570	314	29	27
38	504	374	95	59
