 	BX	BY	Width	Height
1	477	0	165	57
2	330	3	117	84
3	96	9	102	81
4	0	171	60	96
5	96	279	81	66
6	201	144	93	69
7	468	129	120	84
8	15	381	192	213
9	249	363	63	54
10	312	441	111	99
11	348	384	72	78
12	429	267	66	63
13	447	375	78	72
14	543	297	84	66
15	606	390	69	51
16	687	174	63	48
17	651	303	75	63
18	771	300	63	42
19	855	285	87	54
20	900	84	84	66
21	1020	96	153	144
22	1002	0	87	39
23	1215	72	72	54
24	1272	153	81	60
25	1416	48	84	66
26	1599	0	144	84
27	1713	66	72	69
28	1869	6	105	48
29	1962	0	86	144
30	1857	168	78	63
31	1740	234	84	108
32	1881	285	78	96
33	1719	477	156	99
34	1647	351	69	66
35	1377	195	252	222
36	1233	357	81	84
37	1317	300	57	66
38	1122	321	99	57
39	975	315	63	45
40	951	396	57	81
41	1062	441	87	54
42	912	498	72	45
43	711	441	99	147
44	645	555	57	54
45	810	588	54	69
46	861	681	69	60
47	1410	474	111	144
48	1908	528	140	144
49	1989	453	59	39
50	1998	291	50	81
51	1875	678	126	99
52	1779	771	126	138
53	1488	735	243	213
54	1320	747	114	87
55	1314	864	102	72
56	1467	993	156	132
57	1656	981	99	78
58	1957	888	89	273
59	1827	1107	108	126
60	1692	1122	99	60
61	1581	1188	201	105
62	1809	1308	204	198
63	1932	1677	102	84
64	1899	1857	99	78
65	1539	1974	108	74
66	1359	1968	108	72
67	1392	1599	186	174
68	1521	1377	114	87
69	813	858	216	210
70	834	1626	201	207
71	414	1815	84	66
72	111	1899	177	149
73	78	1800	78	87
74	36	1545	129	66
75	375	1533	93	69
76	375	1263	180	156
77	513	717	162	123
78	264	654	108	99
79	333	762	96	75
80	291	861	81	87
81	192	918	87	69
82	222	990	69	81
83	186	1101	123	36
84	123	1149	84	60
85	231	1242	93	81
86	0	1302	201	75
87	0	1035	129	87
88	21	825	90	102
