 	BX	BY	Width	Height
1	0	13	34	44
2	79	0	72	61
3	49	23	31	26
4	343	55	60	50
5	438	86	47	44
6	384	122	49	45
7	417	160	47	52
8	472	163	44	43
9	147	94	69	53
10	58	103	50	45
11	0	132	61	56
12	173	170	50	42
13	227	166	40	46
14	256	127	35	46
15	0	232	17	65
16	0	328	42	45
17	159	387	46	51
18	199	464	23	33
19	106	476	45	48
20	81	494	27	29
21	247	590	31	34
22	279	613	40	38
23	386	582	35	51
24	419	584	68	53
25	487	500	29	43
26	236	389	30	35
27	275	388	41	44
28	369	364	52	47
29	410	425	48	54
30	463	384	42	48
31	406	278	40	45
32	437	326	36	42
33	332	638	39	17
