 	BX	BY	Width	Height
1	3	157	29	44
2	47	464	34	31
3	27	488	33	21
4	140	921	51	36
5	111	771	26	29
6	145	755	22	21
7	105	513	67	52
8	187	440	34	27
9	92	441	32	30
10	135	445	30	24
11	273	313	43	38
12	280	349	29	36
13	319	7	46	32
14	167	60	52	33
15	464	252	43	36
16	473	361	62	51
17	300	476	39	27
18	589	651	51	45
19	284	659	45	40
20	429	781	58	32
21	408	816	56	41
22	444	920	53	37
23	280	959	39	29
24	365	963	39	30
25	588	787	37	38
26	595	663	45	30
27	659	411	40	41
28	709	411	38	41
29	656	11	47	45
30	943	8	30	25
31	981	3	38	38
32	992	77	20	20
33	967	156	36	35
34	965	203	43	32
35	927	244	45	40
36	971	548	26	25
37	815	495	42	44
38	825	552	52	45
39	912	673	32	28
40	908	705	48	30
41	793	744	38	41
42	941	757	35	40
43	827	981	57	38
44	475	15	29	21
45	624	17	23	28
