 	BX	BY	Width	Height
1	776	475	77	60
2	841	536	113	95
3	657	833	200	191
4	324	944	149	80
5	261	860	49	52
6	341	844	45	35
7	283	776	73	41
8	85	837	105	80
9	874	852	43	50
10	959	935	49	50
11	612	535	77	72
12	500	592	54	91
13	549	670	63	47
14	310	623	174	91
15	232	639	44	60
16	56	503	113	113
17	100	320	68	48
18	0	242	61	98
19	164	377	97	151
20	230	280	102	79
21	309	295	110	121
22	383	256	55	57
23	200	199	59	58
24	148	168	44	68
25	349	31	64	62
26	478	145	130	107
27	706	264	77	69
28	647	30	135	104
29	809	0	66	42
30	951	35	59	61
31	822	114	76	85
32	928	210	69	65
33	35	77	64	48
34	527	370	70	74
35	618	424	54	51
36	878	309	76	53
37	604	223	48	48
38	419	420	52	45
39	710	779	39	51
40	276	91	56	43
