 	BX	BY	Width	Height
1	73	3	77	60
2	0	19	25	28
3	65	107	38	39
4	14	144	32	33
5	149	106	64	38
6	234	167	26	40
7	187	176	22	36
8	362	62	32	34
9	447	91	31	26
10	483	174	27	34
11	402	127	24	37
12	422	174	29	36
13	409	286	32	37
14	436	334	38	14
15	473	396	27	31
16	417	428	37	41
17	382	370	34	37
18	278	393	34	32
19	382	591	36	36
20	446	591	36	32
21	422	603	36	28
22	282	614	29	33
23	115	487	36	31
24	87	497	20	26
25	238	396	33	22
26	202	467	20	24
27	248	593	28	29
28	165	397	37	42
29	0	331	42	37
30	0	241	13	38
31	259	129	30	36
32	490	507	26	33
33	48	20	30	35
