 	BX	BY	Width	Height
1	18	60	13	16
2	23	92	15	13
3	26	121	17	17
4	13	165	15	13
5	32	173	15	13
6	0	186	11	17
7	72	191	12	7
8	57	146	30	21
9	66	130	23	17
10	80	105	28	23
11	53	359	21	21
12	77	333	15	18
13	4	361	18	19
14	2	396	14	27
15	2	437	16	26
16	58	407	11	11
17	79	431	27	27
18	61	472	21	12
19	143	466	11	11
20	159	456	21	19
21	142	435	18	17
22	94	392	16	14
23	103	374	19	15
24	100	358	24	17
25	109	342	27	17
26	162	398	33	24
27	207	374	17	18
28	97	266	23	17
29	107	312	11	8
30	172	261	31	34
31	237	262	9	9
32	262	271	17	17
33	211	210	17	15
34	142	201	30	24
35	101	220	23	21
36	161	92	13	17
37	115	64	15	12
38	152	4	15	10
39	215	21	31	31
40	312	127	31	26
41	338	236	29	21
42	311	222	18	19
43	266	228	24	19
44	265	270	13	17
45	331	272	21	18
46	263	314	16	11
47	279	334	11	12
48	278	358	20	20
49	251	343	24	19
50	343	475	46	18
51	379	418	14	24
52	338	318	34	29
53	273	173	16	14
