 	BX	BY	Width	Height
1	271	113	17	13
2	276	156	18	16
3	171	202	12	12
4	184	205	18	20
5	260	219	9	10
6	206	264	35	17
7	217	280	36	26
8	212	384	15	21
9	179	411	32	21
10	262	405	9	15
11	233	409	11	16
12	338	425	12	7
13	276	406	12	12
14	308	407	17	8
15	311	400	15	7
16	272	300	16	8
17	295	295	23	10
18	359	288	10	8
19	324	321	50	7
20	343	344	16	12
21	318	347	22	9
22	323	335	20	10
23	354	316	19	11
24	268	226	26	18
25	298	62	17	17
26	270	104	20	21
27	354	124	25	26
28	388	224	17	21
29	370	247	25	19
30	375	269	33	18
31	419	258	12	13
32	382	377	22	16
33	532	390	61	40
34	548	346	14	14
35	574	313	26	9
36	503	280	20	18
37	449	207	32	24
38	586	231	12	19
39	535	196	12	11
40	427	174	30	22
41	438	162	27	8
42	463	140	20	15
43	534	199	11	9
44	559	205	13	10
45	581	115	20	22
46	561	59	7	9
47	459	106	14	10
48	488	27	16	14
