 	BX	BY	Width	Height
1	11	5	42	43
2	75	9	33	23
3	37	33	66	14
4	56	59	55	34
5	128	4	137	88
6	8	381	89	115
7	192	565	47	43
8	7	715	24	32
9	40	820	52	41
10	101	824	32	33
11	144	825	33	32
12	20	871	31	24
13	63	872	60	44
14	141	887	48	40
15	201	881	39	47
16	445	861	42	28
17	449	741	40	42
18	439	853	52	40
19	584	116	49	31
20	545	144	36	33
21	592	155	47	32
22	573	192	58	56
23	632	195	48	53
24	733	744	70	51
25	825	707	128	130
26	745	793	62	47
27	765	855	102	45
28	728	991	84	29
29	814	376	64	53
30	986	283	38	68
31	986	366	35	40
32	970	742	26	24
33	981	811	26	26
34	837	855	38	33
35	455	808	32	27
36	808	373	26	29
37	379	257	20	19
38	280	343	34	24
39	350	667	21	15
40	452	731	26	19
41	311	727	25	22
42	269	725	31	20
