 	BX	BY	Width	Height
1	392	2	126	36
2	326	80	64	62
3	0	0	44	50
4	382	172	56	62
5	326	208	40	44
6	990	8	34	70
7	996	86	28	44
8	706	118	86	103
9	794	291	55	54
10	951	324	73	89
11	791	416	95	99
12	814	507	54	46
13	607	458	76	77
14	555	297	60	75
15	389	340	74	60
16	321	410	68	44
17	34	475	68	70
18	121	580	67	62
19	12	783	81	70
20	0	968	79	56
21	240	991	49	33
22	284	779	75	74
23	450	947	65	77
24	452	588	84	84
25	479	761	64	64
26	718	752	51	59
27	826	790	134	69
28	960	707	64	88
29	848	947	69	54
30	712	912	80	48
31	646	603	73	63
32	47	680	51	53
33	628	275	70	55
34	512	410	69	38
35	225	600	86	43
36	253	492	56	46
37	64	276	67	69
38	519	69	70	52
39	168	0	26	37
