 	BX	BY	Width	Height
1	112	164	36	38
2	76	282	48	34
3	28	328	46	38
4	118	440	46	30
5	2	594	36	38
6	22	754	40	46
7	22	870	40	34
8	54	1158	36	22
9	78	1258	42	42
10	240	1134	32	42
11	358	1098	54	44
12	462	1168	54	44
13	310	1280	46	42
14	566	1220	116	102
15	842	1322	46	44
16	980	1372	52	50
17	866	1234	36	36
18	810	1136	42	48
19	698	1070	56	54
20	990	1014	50	42
21	838	1028	66	44
22	864	520	104	92
23	548	574	196	100
24	476	852	196	150
25	526	238	22	46
26	176	376	54	34
27	518	2	42	36
28	450	86	56	46
29	1078	278	36	52
30	844	1026	44	56
31	856	890	26	34
32	620	764	50	38
33	394	562	74	20
34	386	672	60	50
35	368	896	40	44
36	856	1036	26	34
