 	BX	BY	Width	Height
1	692	230	152	134
2	868	550	144	148
3	955	397	61	49
4	962	0	50	43
5	643	50	42	52
6	267	68	104	85
7	362	39	67	59
8	196	4	65	49
9	126	111	60	61
10	16	47	64	60
11	477	419	95	59
12	446	473	93	58
13	256	419	73	56
14	158	330	79	70
15	119	585	72	81
16	73	619	69	76
17	267	530	65	65
18	299	605	105	122
19	939	975	54	49
20	551	876	68	69
21	287	931	99	56
22	0	855	103	97
23	15	855	88	97
24	12	866	86	84
25	495	806	50	69
26	700	948	49	49
27	760	970	23	36
28	633	536	47	53
29	790	0	78	42
30	737	729	55	57
31	627	706	56	58
32	616	638	49	49
33	971	833	39	54
34	89	414	53	49
35	0	214	30	39
36	608	313	56	54
37	354	283	81	68
38	666	119	40	44
39	543	163	49	51
40	366	161	63	31
41	248	787	68	65
42	446	718	69	45
43	340	867	39	42
44	165	860	49	29
45	130	943	39	30
46	306	153	69	89
47	586	245	66	56
48	148	261	50	37
49	41	240	43	36
50	627	383	49	57
51	207	79	41	27
52	222	909	71	45
53	0	507	23	39
