 	BX	BY	Width	Height
1	388	522	54	60
2	162	144	70	58
3	448	162	40	44
4	770	108	40	30
5	456	28	40	30
6	152	18	34	21
7	1013	129	11	70
8	148	578	38	33
9	138	618	37	28
10	45	603	31	32
11	142	513	26	38
12	200	536	30	32
13	253	599	34	32
14	188	681	44	25
15	555	615	30	20
16	624	605	29	19
17	700	586	27	25
18	756	515	30	20
19	615	423	27	33
20	597	462	33	30
21	549	507	31	25
22	394	362	35	35
23	500	447	36	23
24	490	485	33	24
25	601	742	55	42
26	247	454	63	36
27	601	742	45	42
28	657	740	31	42
29	695	730	32	39
30	614	635	32	27
31	638	671	30	19
32	665	698	17	23
33	696	693	30	21
34	774	682	26	21
35	745	914	42	33
36	729	723	35	33
37	305	971	31	25
38	431	970	43	36
39	883	293	38	39
40	451	134	41	26
41	290	131	36	29
42	738	438	44	29
43	500	236	34	28
44	780	638	30	30
45	799	603	26	32
46	802	563	32	30
47	840	821	50	43
48	435	775	32	23
49	330	753	42	37
50	420	806	36	24
51	608	833	39	38
52	950	764	50	54
53	917	190	37	28
54	306	654	34	41
55	275	627	27	33
56	309	624	28	22
57	503	764	32	22
