 	BX	BY	Width	Height
1	9	4	163	55
2	55	172	33	37
3	101	175	34	37
4	39	284	62	40
5	119	504	76	71
6	412	95	59	76
7	776	28	52	41
8	779	87	65	42
9	649	177	58	72
10	503	333	86	43
11	557	400	90	35
12	545	433	71	62
13	699	588	58	48
14	675	661	49	39
15	673	823	28	17
16	665	821	36	20
17	356	920	199	87
18	948	932	68	36
19	975	656	46	111
20	979	469	33	80
21	789	31	40	45
22	971	236	34	33
23	564	271	41	25
24	249	313	47	16
25	569	340	59	33
26	460	391	51	32
27	51	536	50	53
28	136	587	56	34
29	243	251	36	34
30	199	99	45	42
31	93	173	35	39
32	51	277	44	36
33	789	25	38	46
34	492	28	45	28
35	741	24	28	28
