 	BX	BY	Width	Height
1	204	204	23	29
2	237	200	19	29
3	21	374	20	26
4	48	379	25	22
5	28	418	12	18
6	10	454	21	5
7	2	438	19	23
8	107	556	20	27
9	125	592	16	16
10	141	624	16	18
11	162	656	22	27
12	199	716	23	24
13	222	753	18	17
14	258	799	26	22
15	181	870	22	20
16	47	962	26	17
17	154	964	21	16
18	249	176	46	24
19	213	185	24	25
20	219	226	27	18
21	243	259	18	21
22	301	149	14	26
23	322	53	66	27
24	351	87	35	20
25	331	131	25	28
26	411	148	38	20
27	408	106	34	21
28	900	25	33	36
29	706	67	165	135
30	791	435	30	26
31	709	784	36	32
32	699	943	36	27
33	635	952	59	44
34	625	913	56	18
35	559	815	42	28
36	615	333	19	25
37	819	240	26	28
38	579	3	46	36
39	577	677	25	31
