 	BX	BY	Width	Height
1	31	23	31	39
2	60	20	31	25
3	201	122	35	38
4	337	3	40	22
5	464	72	51	67
6	444	21	33	26
7	341	173	40	46
8	493	335	22	35
9	301	317	59	77
10	342	297	24	31
11	98	209	32	78
12	38	90	28	38
13	46	124	30	38
14	31	233	28	39
15	107	331	61	48
16	52	365	20	22
17	92	404	27	29
18	58	464	29	32
19	178	445	37	28
20	205	482	38	35
21	213	573	37	28
22	177	594	31	29
23	379	631	35	29
24	408	560	41	42
25	428	477	28	35
26	403	436	27	35
27	379	419	32	28
28	201	390	42	24
29	101	580	28	24
30	375	280	29	31
31	158	156	40	25
32	488	191	24	41
