 	BX	BY	Width	Height
1	795	858	246	192
2	1377	201	210	204
3	846	1641	177	192
4	1407	1620	147	147
5	108	1902	177	146
6	3	357	216	222
7	0	189	63	72
8	72	12	120	90
9	255	669	108	75
10	327	450	78	72
11	348	402	54	42
12	96	273	72	69
13	180	129	114	84
14	345	15	81	66
15	483	0	174	42
16	489	135	84	81
17	426	282	60	39
18	255	357	57	51
19	447	369	66	60
20	552	300	66	66
21	687	168	57	60
22	645	288	66	57
23	783	291	57	60
24	891	72	90	81
25	1017	0	90	36
26	1011	96	147	141
27	1215	81	75	72
28	1275	153	69	60
29	1425	45	66	63
30	1605	0	123	90
31	1719	57	54	63
32	1887	9	72	60
33	1947	84	63	69
34	1863	147	75	90
35	1743	237	81	96
36	1887	288	78	99
37	1932	516	116	141
38	1740	489	117	93
39	1653	342	69	75
40	1416	489	96	144
41	870	285	57	48
42	966	315	69	54
43	1143	321	39	60
44	1248	369	63	78
45	1329	309	33	42
46	1068	423	72	84
47	945	393	72	72
48	915	483	75	72
49	735	501	69	72
50	696	450	66	75
51	609	381	54	57
52	543	699	117	138
53	627	555	81	66
54	801	603	81	57
55	849	681	87	57
56	1167	618	75	69
57	1344	765	69	90
58	1323	870	93	51
59	1509	729	240	216
60	1773	768	123	135
61	1887	675	93	102
62	1947	1044	101	87
63	2004	966	44	78
64	1686	984	78	72
65	1470	1002	135	135
66	1596	1191	93	99
67	1707	1125	72	60
68	1830	1113	120	138
69	1833	1305	168	258
70	1689	1206	93	81
71	1542	1380	87	81
72	1944	1686	66	81
73	1920	1869	51	72
74	1545	1980	105	68
75	1356	1947	111	101
76	429	1806	78	72
77	387	1530	78	78
78	387	1269	162	138
79	342	774	69	51
80	276	870	87	69
81	201	930	87	54
82	225	987	69	66
83	39	834	81	72
84	0	1017	141	96
85	108	1125	87	96
86	213	1089	54	57
87	237	1233	96	96
88	114	1311	87	96
89	0	1281	93	84
90	45	1530	66	87
91	63	1809	78	84
92	1290	447	90	102
93	447	645	78	66
