 	BX	BY	Width	Height
1	402	624	21	24
2	456	654	36	30
3	942	486	45	54
4	1383	696	51	57
5	1779	951	45	42
6	771	1818	54	45
7	360	588	42	54
8	1527	1770	51	45
9	582	984	63	42
10	607	498	30	36
11	552	690	26	34
12	201	435	42	45
13	552	381	42	57
14	993	459	39	36
15	816	663	39	39
16	291	1200	51	24
17	504	1641	30	45
18	1425	1083	57	33
19	651	882	51	51
20	585	783	63	69
21	51	1299	72	36
22	15	1359	30	45
23	24	1314	75	51
24	1422	1107	81	24
25	1818	918	48	33
26	1737	957	54	36
27	1818	966	48	66
28	1704	1002	57	54
29	1782	1005	81	51
30	1698	1059	60	36
31	1614	1125	99	54
32	1617	1176	75	99
33	1620	1281	72	69
34	1719	1188	78	120
35	1017	1575	54	45
36	1546	595	31	36
37	1173	731	34	28
