 	BX	BY	Width	Height
1	9	4	163	55
2	55	172	33	37
3	101	175	34	37
4	39	284	62	40
5	119	504	76	71
6	412	95	59	76
7	776	28	52	41
8	779	87	65	42
9	649	177	58	72
10	503	333	86	43
11	557	400	90	35
12	545	433	71	62
13	699	588	58	48
14	675	661	49	39
15	673	823	28	17
16	665	821	36	20
17	356	920	199	87
18	948	932	68	36
19	975	656	46	111
20	979	469	33	80
21	789	31	40	45
22	971	236	34	33
23	564	271	41	25
24	249	313	47	16
25	569	340	59	33
26	460	391	51	32
27	51	536	50	53
28	136	587	56	34
29	243	251	36	34
30	199	99	45	42
31	93	173	35	39
32	51	277	44	36
33	789	25	38	46
34	492	28	45	28
35	741	24	28	28
36	247	335	40	42
37	296	331	32	38
38	360	321	43	35
39	3	928	33	20
40	733	992	46	29
41	788	981	51	40
42	507	645	41	44
43	529	589	46	39
44	545	545	52	30
45	579	491	53	29
46	605	453	38	28
47	611	397	54	48
48	636	340	61	55
49	672	288	52	49
50	696	229	49	39
51	724	175	53	40
52	759	113	54	48
53	775	56	56	39
54	808	12	53	39
55	251	332	72	35
56	340	323	57	30
57	411	316	58	29
58	263	480	44	44
59	288	73	33	30
